80034,10541A0224,R10207,ENVIRONMENTAL STUDIES,13,20,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80035,10541A0349,R10202,MATHEMATICS- II,14,10,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80036,10541A1228,R10203,ENGINEERING PHYSICS -II,7,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80037,10541A1228,R10204,ENGINEERING CHEMISTRY -II,12,30,2,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80038,10541A1228,R10206,MATHEMATICAL METHODS,9,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80039,11541A0317,R10205,ENGINEERING DRAWING,17,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80040,11541A0518,R10203,ENGINEERING PHYSICS -II,13,18,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80041,11541A0518,R10204,ENGINEERING CHEMISTRY -II,7,32,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80042,12541A0204,R10202,MATHEMATICS- II,6,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80043,12541A0204,R10203,ENGINEERING PHYSICS -II,9,31,2,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80044,12541A0204,R10205,ENGINEERING DRAWING,13,44,2,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80045,12541A0304,R10202,MATHEMATICS- II,19,32,2,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80046,12541A0304,R10203,ENGINEERING PHYSICS -II,14,7,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80047,12541A0306,R13202,MATHEMATICS-III,10,6,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80048,12541A0306,R13203,ENGG. PHYSICS,15,12,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80049,12541A0309,R10202,MATHEMATICS- II,14,8,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80050,12541A0309,R10205,ENGINEERING DRAWING,13,40,2,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80051,12541A0424,R10202,MATHEMATICS- II,14,31,2,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80052,13541A0306,R13202,MATHEMATICS-III,15,10,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80053,13541A0306,R13209,ENGG. DRAWING,22,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80054,13541A0310,R13203,ENGG. PHYSICS,24,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80055,13541A0317,R13209,ENGG. DRAWING,27,29,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80056,13541A0334,R13203,ENGG. PHYSICS,17,8,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80057,13541A0340,R13202,MATHEMATICS-III,17,22,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80058,13541A0340,R13209,ENGG. DRAWING,16,24,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
