129431,10541A0224,R10207,ENVIRONMENTAL STUDIES,13,31,2,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129432,10541A0349,R10202,MATHEMATICS- II,14,20,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129433,10541A0523,R10205,ENGINEERING DRAWING,17,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129434,10541A1228,R10203,ENGINEERING PHYSICS -II,7,10,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129435,10541A1228,R10206,MATHEMATICAL METHODS,9,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129436,11541A0317,R10205,ENGINEERING DRAWING,17,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129437,11541A0518,R10203,ENGINEERING PHYSICS -II,13,35,2,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129438,11541A0518,R10204,ENGINEERING CHEMISTRY -II,7,39,2,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129439,12541A0205,R10202,MATHEMATICS- II,10,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129440,12541A0205,R10203,ENGINEERING PHYSICS -II,14,25,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129441,12541A0304,R10203,ENGINEERING PHYSICS -II,14,18,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129442,12541A0306,R13202,MATHEMATICS-III,10,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129443,12541A0306,R13203,ENGG. PHYSICS,15,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129444,12541A0405,R10202,MATHEMATICS- II,16,17,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129445,12541A0417,R10202,MATHEMATICS- II,16,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129446,12541A0417,R10204,ENGINEERING CHEMISTRY -II,12,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129447,13541A0306,R13202,MATHEMATICS-III,15,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129448,13541A0306,R13209,ENGG. DRAWING,22,29,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129449,13541A0310,R13203,ENGG. PHYSICS,24,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
