103133,09541A0253,X0225,ELECTROMAGNETIC FIELDS,7,4,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103134,09541A0322,X0322,OBJECT ORIENTED PROGRAMMING,8,45,4,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103135,09541A0480,X0221,MATHEMATICS - III,4,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103136,09541A0480,X0421,PROBABILITY THEORY & STO. PROCESSES,7,0,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103137,09541A0480,X0424,ELECTRICAL TEHCNOLOGY,8,0,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103138,09541A04A3,X0221,MATHEMATICS - III,11,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103139,10541A0208,R21026,ELECTRONIC DEVICES AND CIRCUITS,11,4,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103140,10541A0244,R21024,ELECTRO MAGNETIC FIELD,6,12,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103141,10541A0244,R21026,ELECTRONIC DEVICES AND CIRCUITS,7,12,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103142,10541A0322,R21032,THERMODYNAMICS,14,3,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103143,10541A0420,R21026,ELECTRONIC DEVICES AND CIRCUITS,6,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103144,10541A0420,R21041,ELECTRICAL TECHNOLOGY,8,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103145,10541A0420,R21042,NETWORK ANALYSIS,9,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103146,10541A0420,R21043,PROBABILITY THEORY & STOCHASTIC PROCESSE,6,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103147,10541A0420,R21044,SIGNALS & SYSTEMS,9,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103148,10541A0444,R21042,NETWORK ANALYSIS,4,26,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103149,10541A0444,R21043,PROBABILITY THEORY & STOCHASTIC PROCESSE,5,0,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103150,10541A0448,R21043,PROBABILITY THEORY & STOCHASTIC PROCESSE,10,6,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103151,10541A0482,R21041,ELECTRICAL TECHNOLOGY,7,18,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103152,10541A0482,R21044,SIGNALS & SYSTEMS,19,31,4,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103153,10541A0485,R21026,ELECTRONIC DEVICES AND CIRCUITS,9,11,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103154,10541A0485,R21044,SIGNALS & SYSTEMS,7,4,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103155,10541A0545,R21026,ELECTRONIC DEVICES AND CIRCUITS,8,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103156,10541A0545,R21054,DIGITAL LOGIC DESIGN,11,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103157,10541A1228,R21026,ELECTRONIC DEVICES AND CIRCUITS,10,0,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103158,11481A05D3,R21026,ELECTRONIC DEVICES AND CIRCUITS,11,0,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103159,11481A05D3,R21051,DATA STRUCTURES,17,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103160,11481A05D3,R21054,DIGITAL LOGIC DESIGN,21,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103161,11541A0212,R21025,ELECTRICAL MACHINES-I,8,20,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103162,11541A0212,R21026,ELECTRONIC DEVICES AND CIRCUITS,8,0,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103163,11541A0317,R21013,ELECTRICAL AND ELECTRONICS ENGINEERING,6,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103164,11541A0317,R21031,ENGINEERING MECHANICS,12,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103165,11541A0317,R21032,THERMODYNAMICS,13,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103166,11541A0319,R21021,FLUID MECHANICS & HYDRAULIC MACHINES,10,16,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103167,11541A0322,R21021,FLUID MECHANICS & HYDRAULIC MACHINES,11,0,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103168,11541A0322,R21032,THERMODYNAMICS,16,4,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103169,11541A0421,R21041,ELECTRICAL TECHNOLOGY,14,30,4,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103170,11541A0421,R21044,SIGNALS & SYSTEMS,17,4,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103171,11541A0465,R21026,ELECTRONIC DEVICES AND CIRCUITS,18,9,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103172,11541A0465,R21042,NETWORK ANALYSIS,14,16,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103173,11541A0476,R21041,ELECTRICAL TECHNOLOGY,8,27,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103174,11541A0518,R21026,ELECTRONIC DEVICES AND CIRCUITS,8,9,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103175,11541A0518,R21052,PROBABILITY & STATISTICS,16,37,4,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103176,11541A0518,R21054,DIGITAL LOGIC DESIGN,2,20,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103177,11541A0521,R21052,PROBABILITY & STATISTICS,16,35,4,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103178,,,,,,,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103179,11541A0521,R21054,DIGITAL LOGIC DESIGN,5,36,4,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103180,11541A0529,R21053,MATHEMATICAL FOUN. OF COMP.  SCI. AND EN,11,39,4,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103181,11541A0529,R21054,DIGITAL LOGIC DESIGN,6,37,4,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103182,12541A0204,R21026,ELECTRONIC DEVICES AND CIRCUITS,5,5,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103183,12541A0205,R21021,FLUID MECHANICS & HYDRAULIC MACHINES,13,17,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103184,12541A0205,R21025,ELECTRICAL MACHINES-I,16,19,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
