72958,09541A0253,X0225,ELECTROMAGNETIC FIELDS,7,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72959,10541A0208,R21026,ELECTRONIC DEVICES AND CIRCUITS,11,32,4,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72960,10541A0224,R21021,FLUID MECHANICS & HYDRAULIC MACHINES,11,35,4,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72961,10541A0244,R21024,ELECTRO MAGNETIC FIELD,6,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72962,10541A0244,R21026,ELECTRONIC DEVICES AND CIRCUITS,7,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72963,10541A0322,R21032,THERMODYNAMICS,14,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72964,10541A0444,R21042,NETWORK ANALYSIS,4,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72965,10541A0444,R21043,PROBABILITY THEORY & STOCHASTIC PROCESSES,5,38,4,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72966,10541A0448,R21043,PROBABILITY THEORY & STOCHASTIC PROCESSES,10,13,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72967,10541A0485,R21026,ELECTRONIC DEVICES AND CIRCUITS,9,50,4,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72968,10541A0485,R21044,SIGNALS & SYSTEMS,7,40,4,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72969,10541A1228,R21026,ELECTRONIC DEVICES AND CIRCUITS,10,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72970,11541A0212,R21025,ELECTRICAL MACHINES-I,8,8,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72971,11541A0212,R21026,ELECTRONIC DEVICES AND CIRCUITS,8,16,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72972,11541A0317,R21013,ELECTRICAL AND ELECTRONICS ENGINEERING,6,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72973,11541A0317,R21031,ENGINEERING MECHANICS,12,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72974,11541A0317,R21032,THERMODYNAMICS,13,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72975,11541A0432,R21042,NETWORK ANALYSIS,14,4,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72976,11541A0432,R21043,PROBABILITY THEORY & STOCHASTIC PROCESSES,16,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72977,11541A0465,R21026,ELECTRONIC DEVICES AND CIRCUITS,18,32,4,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72978,11541A0465,R21042,NETWORK ANALYSIS,14,40,4,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72979,11541A0518,R21026,ELECTRONIC DEVICES AND CIRCUITS,8,16,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72980,11541A0518,R21054,DIGITAL LOGIC DESIGN,2,39,4,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72981,12541A0204,R21026,ELECTRONIC DEVICES AND CIRCUITS,5,18,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72982,12541A0304,R21032,THERMODYNAMICS,18,41,4,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72983,12541A0306,RT21031,METALLURGY & MATERIALS SCIENCE,13,6,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72984,12541A0306,RT21032,MECHANICS OF SOLIDS,11,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72985,12541A0306,RT21033,THERMODYNAMICS,10,10,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72986,12541A0405,R21026,ELECTRONIC DEVICES AND CIRCUITS,15,10,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72987,12541A0405,R21042,NETWORK ANALYSIS,17,6,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72988,12541A0405,R21044,SIGNALS & SYSTEMS,11,20,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72989,12541A0418,R21026,ELECTRONIC DEVICES AND CIRCUITS,11,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72990,12541A0418,R21042,NETWORK ANALYSIS,10,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72991,12541A0418,R21043,PROBABILITY THEORY & STOCHASTIC PROCESSES,13,11,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72992,12541A0426,R21026,ELECTRONIC DEVICES AND CIRCUITS,13,25,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72993,13541A0306,RT21032,MECHANICS OF SOLIDS,14,15,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72994,13541A0307,RT21032,MECHANICS OF SOLIDS,19,39,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72995,13541A0309,RT21032,MECHANICS OF SOLIDS,18,30,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72996,13541A0310,RT21032,MECHANICS OF SOLIDS,18,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72997,13541A0310,RT21033,THERMODYNAMICS,17,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72998,13541A0315,RT21032,MECHANICS OF SOLIDS,18,29,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
72999,13541A0318,RT21032,MECHANICS OF SOLIDS,17,29,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73000,13541A0319,RT21032,MECHANICS OF SOLIDS,18,17,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
