135577,10541A0224,R31022,ELECTRICAL MEASUREMENT,13,0,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135578,11541A0212,R31021,COMPLEX VARIABLEDS AND STATISTICAL METHODS,15,19,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135579,11541A0212,R31024,POWER ELECTRONICS,10,12,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135580,11541A0212,R31026,LINEAR & DIGITAL IC APPLICATION,14,19,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135581,11541A0349,R31031,FINITE ELEMENT METHODS,17,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135582,11541A0349,R31033,DYNAMICS OF MACHINERY,16,33,4,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135583,11541A0349,R31034,THERMAL ENGINEERING-II,18,30,4,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135584,11541A0365,R31033,DYNAMICS OF MACHINERY,2,17,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135585,11541A0365,R31036,METAL CUTTING & MACHINE TOOLS,0,16,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135586,12541A0306,RT31031,DYNAMICS OF MACHINERY,15,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135587,12541A0306,RT31033,DESIGN OF MACHINE MEMBERS-I,9,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135588,12541A0306,RT31035,THERMAL ENGINEERING-II,10,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135589,12541A0318,R31031,FINITE ELEMENT METHODS,14,0,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135590,12541A0429,R31043,LINEAR IC APPLICATIONS,21,44,4,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135591,13541A0306,RT31035,THERMAL ENGINEERING-II,10,6,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135592,13541A0310,RT31035,THERMAL ENGINEERING-II,16,29,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135593,13541A0311,RT31031,DYNAMICS OF MACHINERY,18,18,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135594,13541A0317,RT31032,METAL CUTTING & MACHINE TOOLS,22,9,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135595,13545A0414,R31042,DIGITAL IC APPLICATIONS,10,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135596,13545A0414,R31044,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,23,15,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135597,13545A0414,R31046,DIGITAL COMMUNICATIONS,16,31,4,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135598,14541A0205,RT31021,ELECTRICAL MEASUREMENTS,24,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135599,14541A0210,RT31021,ELECTRICAL MEASUREMENTS,20,11,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135600,14541A0210,RT31025,POWER ELECTRONICS,22,13,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135601,14541A0216,RT31023,POWER SYSTEMS-II,26,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135602,14541A0222,RT31025,POWER ELECTRONICS,28,10,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135603,14541A0316,RT31036,METROLOGY,19,23,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135604,14541A0317,RT31032,METAL CUTTING & MACHINE TOOLS,18,16,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135605,14541A0317,RT31033,DESIGN OF MACHINE MEMBERS-I,18,12,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135606,14541A0317,RT31035,THERMAL ENGINEERING-II,22,29,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135607,14541A0324,RT31031,DYNAMICS OF MACHINERY,17,19,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135608,14541A0328,RT31031,DYNAMICS OF MACHINERY,19,19,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135609,14541A0328,RT31035,THERMAL ENGINEERING-II,25,30,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135610,14541A0328,RT31036,METROLOGY,20,30,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135611,14541A0342,RT31031,DYNAMICS OF MACHINERY,23,31,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135612,14541A0346,RT31031,DYNAMICS OF MACHINERY,20,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135613,14541A0347,RT31032,METAL CUTTING & MACHINE TOOLS,13,22,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135614,14541A0349,RT31032,METAL CUTTING & MACHINE TOOLS,16,28,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135615,14541A0349,RT31033,DESIGN OF MACHINE MEMBERS-I,22,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135616,14541A0349,RT31035,THERMAL ENGINEERING-II,15,29,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135617,14541A0349,RT31036,METROLOGY,16,25,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135618,14541A0351,RT31031,DYNAMICS OF MACHINERY,25,14,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135619,14541A0352,RT31032,METAL CUTTING & MACHINE TOOLS,21,32,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135620,14541A0355,RT31031,DYNAMICS OF MACHINERY,25,20,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135621,14541A0359,RT31031,DYNAMICS OF MACHINERY,19,17,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135622,14541A0359,RT31032,METAL CUTTING & MACHINE TOOLS,16,18,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135623,14541A0361,RT31031,DYNAMICS OF MACHINERY,16,7,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135624,14541A0361,RT31032,METAL CUTTING & MACHINE TOOLS,14,8,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135625,14541A0361,RT31033,DESIGN OF MACHINE MEMBERS-I,11,5,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135626,14541A0361,RT31035,THERMAL ENGINEERING-II,10,11,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135627,14541A0361,RT31036,METROLOGY,18,10,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135628,14541A0363,RT31031,DYNAMICS OF MACHINERY,22,20,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135629,14541A0364,RT31031,DYNAMICS OF MACHINERY,19,19,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135630,14541A0366,RT31032,METAL CUTTING & MACHINE TOOLS,21,29,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135631,14541A0370,RT31032,METAL CUTTING & MACHINE TOOLS,16,16,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135632,14541A0370,RT31035,THERMAL ENGINEERING-II,16,13,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135633,14541A0370,RT31036,METROLOGY,16,14,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135634,14541A0373,RT31031,DYNAMICS OF MACHINERY,27,29,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135635,14541A0378,RT31033,DESIGN OF MACHINE MEMBERS-I,16,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135636,14541A0378,RT31035,THERMAL ENGINEERING-II,17,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135637,14541A0379,RT31031,DYNAMICS OF MACHINERY,20,16,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135638,14541A0379,RT31033,DESIGN OF MACHINE MEMBERS-I,19,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135639,14541A0379,RT31036,METROLOGY,17,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135640,14541A0383,RT31031,DYNAMICS OF MACHINERY,16,22,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135641,14541A0386,RT31032,METAL CUTTING & MACHINE TOOLS,21,29,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135642,14541A0388,RT31031,DYNAMICS OF MACHINERY,23,22,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135643,14541A0401,RT31041,PULSE & DIGITAL CIRCUITS,22,7,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135644,14541A0401,RT31045,ANTENNAS AND WAVE PROPAGATION,17,0,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135645,14541A0405,RT31041,PULSE & DIGITAL CIRCUITS,14,22,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135646,14541A0405,RT31044,DIGITAL SYSTEM DESIGN & DICA,16,15,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135647,14541A0405,RT31045,ANTENNAS AND WAVE PROPAGATION,16,18,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135648,14541A0409,RT31045,ANTENNAS AND WAVE PROPAGATION,19,23,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135649,14541A0410,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,16,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135650,14541A0410,RT31044,DIGITAL SYSTEM DESIGN & DICA,21,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135651,14541A0417,RT31041,PULSE & DIGITAL CIRCUITS,19,16,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135652,14541A0431,RT31041,PULSE & DIGITAL CIRCUITS,27,22,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135653,14541A0435,RT31041,PULSE & DIGITAL CIRCUITS,15,15,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135654,14541A0438,RT31041,PULSE & DIGITAL CIRCUITS,22,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135655,14541A0438,RT31043,CONTROL SYSTEMS,7,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135656,14541A0438,RT31044,DIGITAL SYSTEM DESIGN & DICA,19,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135657,14541A0440,RT31045,ANTENNAS AND WAVE PROPAGATION,16,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135658,14541A0442,RT31041,PULSE & DIGITAL CIRCUITS,20,12,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135659,14541A0447,RT31041,PULSE & DIGITAL CIRCUITS,18,13,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135660,14541A0447,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,17,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135661,14541A0447,RT31045,ANTENNAS AND WAVE PROPAGATION,16,9,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135662,14541A0450,RT31041,PULSE & DIGITAL CIRCUITS,28,14,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135663,14541A0456,RT31043,CONTROL SYSTEMS,17,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135664,14541A0456,RT31044,DIGITAL SYSTEM DESIGN & DICA,20,36,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135665,14541A0459,RT31041,PULSE & DIGITAL CIRCUITS,17,13,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135666,14541A0470,RT31041,PULSE & DIGITAL CIRCUITS,17,12,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135667,14541A0470,RT31045,ANTENNAS AND WAVE PROPAGATION,16,11,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135668,14541A0472,RT31041,PULSE & DIGITAL CIRCUITS,18,5,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135669,14541A0472,RT31043,CONTROL SYSTEMS,16,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135670,14541A0472,RT31044,DIGITAL SYSTEM DESIGN & DICA,22,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
