100618,10541A0322,R32036,INDUSTRIAL ENGG. & MANAGEMENT,3,29,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100619,10541A0349,R32033,HEAT TRANSFER,15,13,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100620,11541A0212,R32023,UTILIZATION OF ELECTRICAL  ENERGY,14,14,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100621,12541A0318,R32035,DESIGN OF MACHINE MEMBERS_II,20,0,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100622,12541A0406,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,24,29,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100623,12541A0417,R32041,COMPUTER NETWORKS,18,9,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100624,12541A0417,R32043,DIGITAL SIGNAL PROCESSING,12,32,4,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100625,12541A0418,R32026,MANAGEMENT SCIENCE,15,29,4,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100626,12541A0418,R32041,COMPUTER NETWORKS,15,14,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100627,13541A0306,RT32032,INTERACTIVE COMPUTER GRAPHICS,22,8,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100628,13541A0306,RT32033,DESIGN OF MACHINE MEMBERS  II,13,31,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100629,13541A0306,RT32035,HEAT TRANSFER,18,15,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100630,13541A0310,RT32031,OPERATIONS RESEARCH,18,0,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100631,13541A0322,RT32037A,REFRIGERATION & AIR CONDITIONING,21,16,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100632,13541A0410,RT32042,DIGITAL SIGNAL PROCESSING,23,44,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100633,13541A0433,RT32042,DIGITAL SIGNAL PROCESSING,14,25,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100634,14541A0203,RT32026,POWER SEMICONDUCTOR DRIVES,18,30,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100635,14541A0206,RT32024,POWER SYSTEM ANALYSIS,30,38,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100636,14541A0209,RT32021,MICROPROCESSORS & MICROCONTROLLERS,22,24,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100637,14541A0210,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,16,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100638,14541A0210,RT32022,SWITCHGEAR AND PROTECTION,21,31,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100639,14541A0210,RT32023,UTILIZATION OF ELECTRICAL ENERGY,20,4,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100640,14541A0210,RT32026,POWER SEMICONDUCTOR DRIVES,17,29,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100641,14541A0214,RT32022,SWITCHGEAR AND PROTECTION,22,26,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100642,14541A0214,RT32026,POWER SEMICONDUCTOR DRIVES,20,28,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100643,14541A0215,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,21,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100644,14541A0216,RT32022,SWITCHGEAR AND PROTECTION,20,35,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100645,14541A0218,RT32026,POWER SEMICONDUCTOR DRIVES,20,32,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100646,14541A0219,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,32,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100647,14541A0222,RT32022,SWITCHGEAR AND PROTECTION,18,14,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100648,14541A0226,RT32021,MICROPROCESSORS & MICROCONTROLLERS,27,21,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100649,14541A0226,RT32022,SWITCHGEAR AND PROTECTION,21,24,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100650,14541A0226,RT32023,UTILIZATION OF ELECTRICAL ENERGY,16,8,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100651,14541A0226,RT32024,POWER SYSTEM ANALYSIS,24,11,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100652,14541A0238,RT32026,POWER SEMICONDUCTOR DRIVES,24,25,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100653,14541A0305,RT32032,INTERACTIVE COMPUTER GRAPHICS,16,0,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100654,14541A0305,RT32034,ROBOTICS,23,9,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100655,14541A0305,RT32035,HEAT TRANSFER,25,11,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100656,14541A0309,RT32031,OPERATIONS RESEARCH,20,14,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100657,14541A0309,RT32037A,REFRIGERATION & AIR CONDITIONING,20,40,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100658,14541A0311,RT32031,OPERATIONS RESEARCH,25,30,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100659,14541A0311,RT32034,ROBOTICS,25,16,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100660,14541A0313,RT32032,INTERACTIVE COMPUTER GRAPHICS,20,10,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100661,14541A0313,RT32037A,REFRIGERATION & AIR CONDITIONING,22,28,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100662,14541A0315,RT32035,HEAT TRANSFER,24,47,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100663,14541A0315,RT32037A,REFRIGERATION & AIR CONDITIONING,20,34,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100664,14541A0316,RT32031,OPERATIONS RESEARCH,27,11,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100665,14541A0316,RT32034,ROBOTICS,20,15,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100666,14541A0317,RT32032,INTERACTIVE COMPUTER GRAPHICS,16,0,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100667,14541A0317,RT32033,DESIGN OF MACHINE MEMBERS  II,19,0,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100668,14541A0317,RT32034,ROBOTICS,24,12,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100669,14541A0317,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,20,10,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100670,14541A0317,RT32037A,REFRIGERATION & AIR CONDITIONING,16,12,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100671,14541A0323,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,21,31,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100672,14541A0324,RT32035,HEAT TRANSFER,26,29,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100673,14541A0324,RT32037A,REFRIGERATION & AIR CONDITIONING,19,18,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100674,14541A0325,RT32032,INTERACTIVE COMPUTER GRAPHICS,21,26,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100675,14541A0325,RT32034,ROBOTICS,23,24,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100676,14541A0325,RT32035,HEAT TRANSFER,23,41,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100677,14541A0326,RT32032,INTERACTIVE COMPUTER GRAPHICS,8,6,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100678,14541A0326,RT32034,ROBOTICS,12,18,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100679,14541A0328,RT32031,OPERATIONS RESEARCH,25,13,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100680,14541A0328,RT32037A,REFRIGERATION & AIR CONDITIONING,19,10,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100681,14541A0330,RT32034,ROBOTICS,25,19,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100682,14541A0330,RT32035,HEAT TRANSFER,24,41,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100683,14541A0332,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,21,13,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100684,14541A0332,RT32037A,REFRIGERATION & AIR CONDITIONING,19,12,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100685,14541A0333,RT32031,OPERATIONS RESEARCH,25,17,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100686,14541A0333,RT32035,HEAT TRANSFER,26,35,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100687,14541A0333,RT32037A,REFRIGERATION & AIR CONDITIONING,17,20,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100688,14541A0334,RT32032,INTERACTIVE COMPUTER GRAPHICS,18,14,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100689,14541A0334,RT32034,ROBOTICS,25,19,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
