10541A0224,R31022,ELECTRICAL MEASUREMENT,13,0,0
11541A0212,R31021,COMPLEX VARIABLEDS AND STATISTICAL METHODS,15,19,0
11541A0212,R31024,POWER ELECTRONICS,10,12,0
11541A0212,R31026,LINEAR & DIGITAL IC APPLICATION,14,19,0
11541A0349,R31031,FINITE ELEMENT METHODS,17,-1,0
11541A0349,R31033,DYNAMICS OF MACHINERY,16,33,4
11541A0349,R31034,THERMAL ENGINEERING-II,18,30,4
11541A0365,R31033,DYNAMICS OF MACHINERY,2,17,0
11541A0365,R31036,METAL CUTTING & MACHINE TOOLS,0,16,0
12541A0306,RT31031,DYNAMICS OF MACHINERY,15,-1,0
12541A0306,RT31033,DESIGN OF MACHINE MEMBERS-I,9,-1,0
12541A0306,RT31035,THERMAL ENGINEERING-II,10,-1,0
12541A0318,R31031,FINITE ELEMENT METHODS,14,0,0
12541A0429,R31043,LINEAR IC APPLICATIONS,21,44,4
13541A0306,RT31035,THERMAL ENGINEERING-II,10,6,0
13541A0310,RT31035,THERMAL ENGINEERING-II,16,29,3
13541A0311,RT31031,DYNAMICS OF MACHINERY,18,18,0
13541A0317,RT31032,METAL CUTTING & MACHINE TOOLS,22,9,0
13545A0414,R31042,DIGITAL IC APPLICATIONS,10,-1,0
13545A0414,R31044,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,23,15,0
13545A0414,R31046,DIGITAL COMMUNICATIONS,16,31,4
14541A0205,RT31021,ELECTRICAL MEASUREMENTS,24,-1,0
14541A0210,RT31021,ELECTRICAL MEASUREMENTS,20,11,0
14541A0210,RT31025,POWER ELECTRONICS,22,13,0
14541A0216,RT31023,POWER SYSTEMS-II,26,-1,0
14541A0222,RT31025,POWER ELECTRONICS,28,10,0
14541A0316,RT31036,METROLOGY,19,23,0
14541A0317,RT31032,METAL CUTTING & MACHINE TOOLS,18,16,0
14541A0317,RT31033,DESIGN OF MACHINE MEMBERS-I,18,12,0
14541A0317,RT31035,THERMAL ENGINEERING-II,22,29,3
14541A0324,RT31031,DYNAMICS OF MACHINERY,17,19,0
14541A0328,RT31031,DYNAMICS OF MACHINERY,19,19,0
14541A0328,RT31035,THERMAL ENGINEERING-II,25,30,3
14541A0328,RT31036,METROLOGY,20,30,3
14541A0342,RT31031,DYNAMICS OF MACHINERY,23,31,3
14541A0346,RT31031,DYNAMICS OF MACHINERY,20,-1,0
14541A0347,RT31032,METAL CUTTING & MACHINE TOOLS,13,22,0
14541A0349,RT31032,METAL CUTTING & MACHINE TOOLS,16,28,3
14541A0349,RT31033,DESIGN OF MACHINE MEMBERS-I,22,-1,0
14541A0349,RT31035,THERMAL ENGINEERING-II,15,29,3
14541A0349,RT31036,METROLOGY,16,25,3
14541A0351,RT31031,DYNAMICS OF MACHINERY,25,14,0
14541A0352,RT31032,METAL CUTTING & MACHINE TOOLS,21,32,3
14541A0355,RT31031,DYNAMICS OF MACHINERY,25,20,0
14541A0359,RT31031,DYNAMICS OF MACHINERY,19,17,0
14541A0359,RT31032,METAL CUTTING & MACHINE TOOLS,16,18,0
14541A0361,RT31031,DYNAMICS OF MACHINERY,16,7,0
14541A0361,RT31032,METAL CUTTING & MACHINE TOOLS,14,8,0
14541A0361,RT31033,DESIGN OF MACHINE MEMBERS-I,11,5,0
14541A0361,RT31035,THERMAL ENGINEERING-II,10,11,0
14541A0361,RT31036,METROLOGY,18,10,0
14541A0363,RT31031,DYNAMICS OF MACHINERY,22,20,0
14541A0364,RT31031,DYNAMICS OF MACHINERY,19,19,0
14541A0366,RT31032,METAL CUTTING & MACHINE TOOLS,21,29,3
14541A0370,RT31032,METAL CUTTING & MACHINE TOOLS,16,16,0
14541A0370,RT31035,THERMAL ENGINEERING-II,16,13,0
14541A0370,RT31036,METROLOGY,16,14,0
14541A0373,RT31031,DYNAMICS OF MACHINERY,27,29,3
14541A0378,RT31033,DESIGN OF MACHINE MEMBERS-I,16,-1,0
14541A0378,RT31035,THERMAL ENGINEERING-II,17,-1,0
14541A0379,RT31031,DYNAMICS OF MACHINERY,20,16,0
14541A0379,RT31033,DESIGN OF MACHINE MEMBERS-I,19,-1,0
14541A0379,RT31036,METROLOGY,17,-1,0
14541A0383,RT31031,DYNAMICS OF MACHINERY,16,22,0
14541A0386,RT31032,METAL CUTTING & MACHINE TOOLS,21,29,3
14541A0388,RT31031,DYNAMICS OF MACHINERY,23,22,0
14541A0401,RT31041,PULSE & DIGITAL CIRCUITS,22,7,0
14541A0401,RT31045,ANTENNAS AND WAVE PROPAGATION,17,0,0
14541A0405,RT31041,PULSE & DIGITAL CIRCUITS,14,22,0
14541A0405,RT31044,DIGITAL SYSTEM DESIGN & DICA,16,15,0
14541A0405,RT31045,ANTENNAS AND WAVE PROPAGATION,16,18,0
14541A0409,RT31045,ANTENNAS AND WAVE PROPAGATION,19,23,0
14541A0410,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,16,-1,0
14541A0410,RT31044,DIGITAL SYSTEM DESIGN & DICA,21,-1,0
14541A0417,RT31041,PULSE & DIGITAL CIRCUITS,19,16,0
14541A0431,RT31041,PULSE & DIGITAL CIRCUITS,27,22,0
14541A0435,RT31041,PULSE & DIGITAL CIRCUITS,15,15,0
14541A0438,RT31041,PULSE & DIGITAL CIRCUITS,22,-1,0
14541A0438,RT31043,CONTROL SYSTEMS,7,-1,0
14541A0438,RT31044,DIGITAL SYSTEM DESIGN & DICA,19,-1,0
14541A0440,RT31045,ANTENNAS AND WAVE PROPAGATION,16,-1,0
14541A0442,RT31041,PULSE & DIGITAL CIRCUITS,20,12,0
14541A0447,RT31041,PULSE & DIGITAL CIRCUITS,18,13,0
14541A0447,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,17,-1,0
14541A0447,RT31045,ANTENNAS AND WAVE PROPAGATION,16,9,0
14541A0450,RT31041,PULSE & DIGITAL CIRCUITS,28,14,0
14541A0456,RT31043,CONTROL SYSTEMS,17,-1,0
14541A0456,RT31044,DIGITAL SYSTEM DESIGN & DICA,20,36,3
14541A0459,RT31041,PULSE & DIGITAL CIRCUITS,17,13,0
14541A0470,RT31041,PULSE & DIGITAL CIRCUITS,17,12,0
14541A0470,RT31045,ANTENNAS AND WAVE PROPAGATION,16,11,0
14541A0472,RT31041,PULSE & DIGITAL CIRCUITS,18,5,0
14541A0472,RT31043,CONTROL SYSTEMS,16,-1,0
14541A0472,RT31044,DIGITAL SYSTEM DESIGN & DICA,22,-1,0
14541A0472,RT31045,ANTENNAS AND WAVE PROPAGATION,16,-1,0
14541A0473,RT31041,PULSE & DIGITAL CIRCUITS,19,-1,0
14541A0473,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,16,5,0
14541A0482,RT31041,PULSE & DIGITAL CIRCUITS,18,9,0
14541A0482,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,25,10,0
14541A0482,RT31045,ANTENNAS AND WAVE PROPAGATION,16,6,0
14541A0506,RT31055,OPERATING SYSTEMS,17,19,0
14541A0510,RT31055,OPERATING SYSTEMS,19,14,0
14541A0529,RT31054,DATABASE MANAGEMENT SYSTEMS,23,7,0
14541A0533,RT31055,OPERATING SYSTEMS,13,10,0
14545A0305,RT31036,METROLOGY,19,16,0
14545A0401,RT31041,PULSE & DIGITAL CIRCUITS,16,21,0
14545A0401,RT31045,ANTENNAS AND WAVE PROPAGATION,16,18,0
14545A0403,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,17,31,3
14545A0404,RT31043,CONTROL SYSTEMS,19,28,3
14545A0404,RT31044,DIGITAL SYSTEM DESIGN & DICA,18,33,3
14545A0407,RT31041,PULSE & DIGITAL CIRCUITS,16,24,3
14545A0407,RT31043,CONTROL SYSTEMS,12,17,0
14545A0407,RT31044,DIGITAL SYSTEM DESIGN & DICA,17,17,0
14545A0407,RT31045,ANTENNAS AND WAVE PROPAGATION,16,24,3
14545A0409,RT31041,PULSE & DIGITAL CIRCUITS,16,28,3
14545A0409,RT31043,CONTROL SYSTEMS,10,14,0
14545A0409,RT31045,ANTENNAS AND WAVE PROPAGATION,16,29,3
14545A0410,RT31045,ANTENNAS AND WAVE PROPAGATION,17,15,0
14545A0412,RT31041,PULSE & DIGITAL CIRCUITS,16,10,0
14545A0415,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,17,17,0
14545A0415,RT31043,CONTROL SYSTEMS,17,9,0
147E5A0306,RT31031,DYNAMICS OF MACHINERY,13,-1,0
147E5A0306,RT31033,DESIGN OF MACHINE MEMBERS-I,16,6,0
147E5A0306,RT31035,THERMAL ENGINEERING-II,17,12,0
