09541A0253,K0223,DIGITAL CONTROL SYSTEMS,8,0,0
09541A04A3,L0424,DSP PROCESSORS AND ARCHITECTURES,9,13,0
10541A0224,R42021,DIGITAL CONTROL SYSTEMS,21,17,0
10541A0224,R42025,NON CONVENTIONAL SOURCES OF ENERGY,11,20,0
11541A0377,RT42031,PRODUCTION PLANNING AND CONTROL,19,24,3
11541A0377,RT42032,GREEN ENGINEERING SYSTEMS,21,41,3
11541A0377,RT42033D,POWER PLANT ENGINEERING,19,13,0
11541A0377,RT42034A,NON DESTRUCTIVE EVALUATION,23,45,3
11541A0377,RT42035,PROJECT WORK,57,134,9
11541A0432,R42041,CELLULAR AND MOBILE COMMUNICATIONS,16,27,4
12541A0201,R42021,DIGITAL CONTROL SYSTEMS,23,19,0
12541A0204,R42025,NON CONVENTIONAL SOURCES OF ENERGY,17,16,0
12541A0306,RT42031,PRODUCTION PLANNING AND CONTROL,20,49,3
12541A0306,RT42032,GREEN ENGINEERING SYSTEMS,21,51,3
12541A0306,RT42033D,POWER PLANT ENGINEERING,20,25,3
12541A0306,RT42034A,NON DESTRUCTIVE EVALUATION,17,34,3
12541A0306,RT42035,PROJECT WORK,50,130,9
12541A0405,R4204A,TV ENGINEERING,13,22,0
12541A0406,RT42041,CELLULAR MOBILE COMMUNICATION,25,24,3
12541A0406,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,20,40,3
12541A0406,RT42043C,EMBEDDED SYSTEMS,26,40,3
12541A0406,RT42044D,BIO-MEDICAL INSTRUMENTATION,25,27,3
12541A0406,RT42045,PROJECT & SEMINAR,60,139,9
12541A0408,R42045,OPERATING SYSTEMS,23,15,0
12541A0418,R42045,OPERATING SYSTEMS,22,10,0
12541A0418,R4204A,TV ENGINEERING,19,6,0
12541A0426,R4204A,TV ENGINEERING,15,27,4
13541A0201,RT42021,DIGITAL CONTROL SYSTEMS,23,51,3
13541A0201,RT42022C,SPECIAL ELECTRICAL MACHINES,22,39,3
13541A0201,RT42023C,FACTS: FLEXIBLE ALTERNATING CURRENT TRANSMI,24,39,3
13541A0201,RT42024C,AI TECHNIQUES,21,57,3
13541A0201,RT42025,PROJECT,59,138,9
13541A0202,RT42021,DIGITAL CONTROL SYSTEMS,26,50,3
13541A0202,RT42022C,SPECIAL ELECTRICAL MACHINES,24,24,3
13541A0202,RT42023C,FACTS: FLEXIBLE ALTERNATING CURRENT TRANSMI,22,57,3
13541A0202,RT42024C,AI TECHNIQUES,21,37,3
13541A0202,RT42025,PROJECT,60,139,9
13541A0203,RT42021,DIGITAL CONTROL SYSTEMS,25,50,3
